,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,36,29,1015,76,25.15,696,145.83,0,0,9,92,39,0
1,R Uthappa,34,29,1073,74,29.79,812,132.14,0,3,5,87,51,1
2,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,0
3,S Dube,6,4,64,54,32,42,152.38,0,1,0,3,4,1
4,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
6,A Rayudu,41,37,1184,48,26.79,962,123.08,0,4,3,88,47,0
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
8,A Rawat,56,50,1900,54,25.29,1450,131.03,0,4,9,89,44,0
9,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
10,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
11,S Prabhudessai,56,50,1900,48,33.03,1300,146.15,0,0,7,82,47,1
12,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
13,P Silva,2,2,22,21,11,22,100,0,0,0,1,0,0
