,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,48,41,1476,54,35.35,1189,124.14,0,2,1,101,54,0
3,I Kishan,40,36,1260,53,40.51,900,140,0,1,6,77,44,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,1
6,P Shaw,56,49,1715,73,26.53,1274,134.62,0,1,4,92,51,0
7,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
8,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
9,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
10,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
11,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
12,A Mishra,57,50,1900,61,37.74,1200,158.33,0,2,9,97,54,1
