,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,48,43,1634,54,28.96,1161,140.74,0,1,2,96,50,1
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
5,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
6,A Mishra,50,43,1419,53,40.58,1118,126.92,0,1,3,91,39,0
7,S Gill,34,27,918,43,33.17,675,136,0,2,4,90,43,0
8,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
9,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
10,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
11,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,1
12,R Tripathi,50,46,1426,55,40.19,1242,114.81,0,0,5,92,39,1
13,C Varun,54,47,1457,75,37.38,1269,114.81,0,6,6,101,53,1
