,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,35,28,980,42,24.09,756,129.63,0,4,2,103,39,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
3,C Ingram,35,31,1085,59,37.82,713,152.17,0,1,6,100,39,1
4,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
5,K Paul,18,12,142,29,20.28,123,115.44,0,0,0,8,8,0
6,I Sharma,35,30,960,51,33.21,870,110.34,0,1,8,100,42,1
7,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
8,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
9,S Yadav,54,48,1584,44,32.76,1152,137.5,0,4,4,88,49,0
10,Y Singh,58,51,1177,77,28.02,863,136.38,0,8,1,77,74,1
11,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,1
12,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
13,B Cutting,7,5,40,29,10,27,148.14,0,0,1,2,3,0
14,M McClenaghan,29,8,24,10,6,23,104.34,0,0,2,1,2,1
15,R Salam,49,44,1584,71,25.97,1056,150,0,6,7,102,54,0
