,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,1
1,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,1
2,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,0
3,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,1
4,A Samad,55,50,1650,68,42.47,1400,117.86,0,6,0,74,47,1
5,A Sharma,47,41,1599,72,28.14,1066,150,0,4,6,86,50,0
6,P Garg,53,46,1748,72,25.74,1288,135.71,0,2,1,90,48,0
7,P Shaw,34,30,1020,68,37.15,750,136,0,5,8,78,47,0
8,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
9,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
10,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
11,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
12,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
13,A Mishra,38,31,1116,44,27.47,713,156.52,0,1,8,89,48,1
14,I Sharma,54,50,1900,43,30.52,1250,152,0,4,2,85,40,0
