,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
1,D Padikkal,46,40,1280,55,37.92,1160,110.34,0,7,9,83,48,0
2,S Samson,52,47,1645,66,25.16,1222,134.62,0,5,9,87,53,1
3,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,1
4,R Parag,33,28,980,47,29.38,812,120.69,0,2,1,75,51,0
5,K Nair,50,45,1620,60,28.67,1215,133.33,0,0,4,87,50,0
6,M Krishna,54,48,1632,76,37.16,1104,147.83,0,4,0,103,45,0
7,A Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,1
8,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
10,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
11,V Iyer,44,40,1400,68,30.83,1080,129.63,0,3,2,82,49,0
12,S Jackson,53,46,1472,57,27.19,1150,128,0,6,6,97,54,0
13,C Varun,33,29,1102,50,26.3,783,140.74,0,1,5,89,46,0
