,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,N Naik,33,27,945,66,28.05,756,125,0,4,3,102,55,0
1,C Lynn,18,16,291,44,19.4,221,131.67,0,0,1,28,14,1
2,R Uthappa,50,44,1496,71,31.7,1276,117.24,0,3,4,95,47,0
3,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
4,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
5,S Gill,52,47,1692,68,25.87,1128,150,0,5,3,76,51,0
6,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
7,P Chawla,35,29,957,62,28.88,725,132,0,5,3,99,44,1
8,M Krishna,37,33,1056,65,29.61,891,118.52,0,3,7,92,43,0
9,P Shaw,55,48,1824,45,37.98,1152,158.33,0,5,2,97,40,1
10,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
11,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
12,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
13,C Ingram,52,48,1488,72,26.07,1296,114.81,0,3,9,90,47,0
14,G Vihari,33,26,884,65,35.34,676,130.77,0,3,5,80,46,0
15,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
16,A Mishra,48,42,1470,51,38.5,1092,134.62,0,4,6,100,42,0
17,S Lamichhane,18,8,23,9,5.75,29,79.31,0,0,1,1,0,1
