,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,S Gill,52,48,1680,75,29.73,1152,145.83,0,4,2,96,53,1
1,C Lynn,18,16,291,44,19.4,221,131.67,0,0,1,28,14,1
2,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
3,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
4,R Uthappa,48,42,1638,64,29.82,1134,144.44,0,4,7,90,40,0
5,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
6,R Singh,2,2,14,8,7,13,107.69,0,0,0,0,1,0
7,P Chawla,44,37,1258,49,37.88,888,141.67,0,2,6,88,42,1
8,H Gurney,50,46,1472,52,29.9,1150,128,0,7,7,92,48,1
9,S Warrier,46,41,1271,52,39.87,943,134.78,0,4,1,76,41,0
10,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
11,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
12,E Lewis,29,28,833,125,30.85,544,153.12,2,5,3,54,67,1
13,S Yadav,43,36,1152,69,31.18,1044,110.34,0,6,5,83,52,1
14,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
15,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
16,B Sran,44,40,1240,66,23.83,1000,124,0,6,0,75,46,0
17,S Malinga,79,30,128,27,7.11,153,83.66,0,0,6,9,4,0
