,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Uthappa,33,27,837,52,33.7,621,134.78,0,5,1,88,54,1
1,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,1
2,S Samson,40,33,1254,72,39.53,924,135.71,0,0,0,102,53,1
3,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,0
4,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
5,R Parag,47,40,1440,75,35.32,960,150,0,5,0,98,49,1
6,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
7,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,0
8,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
9,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,1
10,P Garg,40,33,1254,69,25.93,957,131.03,0,1,9,75,41,0
11,A Samad,47,42,1302,53,24.5,966,134.78,0,4,6,91,44,0
