,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,Y Jaiswal,48,42,1428,56,30.97,1008,141.67,0,0,6,96,47,0
1,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
2,S Samson,36,31,992,66,39.6,775,128,0,5,2,81,52,1
3,D Miller,72,62,1309,101,29.75,935,140,1,2,0,91,57,0
4,R Uthappa,41,35,1190,45,38.17,840,141.67,0,7,8,91,54,0
5,R Parag,43,37,1295,67,38.43,925,140,0,4,7,95,41,0
6,T Curran,15,6,36,14,18,27,133.33,0,0,0,0,3,1
7,M Vijay,57,53,2014,71,40.41,1325,152,0,3,1,93,54,0
8,S Watson,51,46,1610,45,39.24,1058,152.17,0,5,4,90,53,1
9,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
10,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,1
11,R Gaikwad,46,41,1394,48,25.13,1107,125.93,0,6,5,92,51,0
12,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,1
13,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
14,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
15,P Chawla,48,41,1271,54,33.9,943,134.78,0,5,8,80,50,0
