,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,38,31,1209,66,42.19,713,169.57,0,0,6,103,42,1
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
4,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,1
5,T Curran,15,6,36,14,18,27,133.33,0,0,0,0,3,1
6,R Gaikwad,55,49,1813,63,37.45,1176,154.17,0,5,3,75,54,1
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
8,R Uthappa,54,49,1519,50,32.96,1127,134.78,0,4,9,98,54,1
9,A Rayudu,49,45,1575,74,25.6,1125,140,0,3,8,80,46,0
10,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
11,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
