,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
1,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
2,I Kishan,40,36,1152,56,25.2,828,139.13,0,1,2,87,41,0
3,S Yadav,44,38,1368,61,29.48,912,150,0,6,4,94,39,1
4,K Pollard,68,58,1058,68,23,819,129.18,0,4,1,69,61,0
5,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
6,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
7,M Agarwal,56,50,1750,67,24.55,1400,125,0,2,3,99,45,1
8,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,1
9,D Hooda,49,42,1386,71,41.57,1176,117.86,0,4,7,97,42,1
10,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,0
11,M Henriques,11,8,159,62,31.8,122,130.32,0,2,0,8,7,0
12,F Allen,11,9,64,27,9.14,56,114.28,0,0,2,5,3,0
13,A Singh,49,44,1364,52,30.6,1188,114.81,0,0,5,94,47,1
