,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,A Rahane,38,33,1023,73,38.93,924,110.71,0,4,0,76,49,1
1,J Buttler,66,58,1260,73,26.8,912,138.15,0,7,3,102,53,1
2,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,1
3,R Tripathi,40,36,1224,51,32.69,1044,117.24,0,6,0,86,42,0
4,B Stokes,23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
5,P Chopra,40,36,1368,73,28.82,972,140.74,0,4,4,101,44,0
6,S Midhun,51,47,1645,64,35.08,1363,120.69,0,1,3,99,55,0
7,D Kulkarni,40,34,1054,67,28.31,782,134.78,0,5,4,85,47,0
8,C Lynn,18,16,291,44,19.4,221,131.67,0,0,1,28,14,1
9,R Uthappa,50,45,1755,60,31.16,1170,150,0,2,9,82,43,1
10,S Gill,46,39,1287,72,34.34,936,137.5,0,1,4,102,46,1
11,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
12,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
13,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,0
14,P Chawla,47,42,1302,67,26.03,1176,110.71,0,4,3,81,42,1
15,H Gurney,51,45,1575,46,40.79,1215,129.63,0,0,6,97,41,1
16,M Krishna,57,53,1961,44,27.72,1219,160.87,0,3,9,96,52,1
