,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,M Wade,39,34,1122,57,25.31,850,132,0,2,9,90,49,0
1,S Gill,52,48,1824,60,41.35,1200,152,0,5,1,88,41,1
2,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
3,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
4,D Miller,72,62,1309,101,29.75,935,140,1,2,0,91,57,1
5,A Manohar,37,30,1110,50,25.54,840,132.14,0,2,7,87,42,0
6,P Shaw,50,43,1419,70,32.91,989,143.48,0,2,6,87,43,0
7,T Seifert,19,18,316,84,18.58,228,138.59,0,1,2,22,21,0
8,M Singh,8,6,83,36,13.83,98,84.69,0,0,0,10,1,0
9,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
10,R Powell,23,18,311,54,20.73,250,124.4,0,2,1,26,13,1
