,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,1
1,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
2,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
3,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
4,S Hasan,2,2,9,8,4.5,7,128.57,0,0,0,1,0,1
5,D Hooda,41,35,1365,71,31.08,840,162.5,0,2,8,86,48,0
6,W Saha,34,27,891,61,25.79,675,132,0,2,4,77,53,0
7,A Rahane,42,38,1254,54,40.15,950,132,0,0,4,103,43,1
8,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,1
9,S Samson,55,50,1850,75,31.47,1200,154.17,0,6,3,82,40,1
10,S Smith,36,28,577,90,27.47,448,128.79,0,4,1,53,12,0
11,A Turner,11,7,57,22,14.25,57,100,0,0,1,1,2,0
12,R Parag,41,34,1190,66,35.7,884,134.62,0,7,6,86,52,0
13,S Binny,51,47,1598,64,37.18,1175,136,0,5,8,96,51,0
14,O Thomas,10,4,8,8,4,11,72.72,0,0,2,2,0,1
