,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Iyer,50,45,1665,73,28.5,1035,160.87,0,5,1,102,49,0
1,A Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,0
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
3,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
4,S Jackson,35,30,960,74,38.14,870,110.34,0,1,7,95,52,0
5,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
6,C Varun,36,32,1024,66,39.3,896,114.29,0,1,4,84,44,0
7,A Sharma,43,36,1332,63,35.22,1008,132.14,0,4,2,98,47,0
8,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
9,R Tripathi,39,34,1292,46,41.63,816,158.33,0,4,0,91,46,1
10,A Markram,2,2,18,15,9,17,105.88,0,0,0,1,1,1
11,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,1
12,S Singh,1,1,0,0,0,9,0,0,0,1,0,0,0
