,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
1,M Agarwal,57,51,1785,51,40.98,1377,129.63,0,1,0,84,39,1
2,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,0
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
4,K Nair,34,27,999,45,40.89,756,132.14,0,0,2,96,47,0
5,S Khan,1,1,7,7,7,6,116.66,0,0,0,1,0,0
6,S Cottrell,22,7,15,4,5,22,68.18,0,0,1,2,0,1
7,D Padikkal,45,39,1365,53,38.14,936,145.83,0,2,2,81,44,0
8,A Finch,58,58,1878,172,38.32,1200,156.5,2,11,4,182,90,1
9,J Philippe,56,51,1683,47,37.41,1275,132,0,2,9,74,55,0
10,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,0
11,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,1
12,S Dube,6,4,64,54,32,42,152.38,0,1,0,3,4,1
13,D Steyn,44,10,16,5,3.2,23,69.56,0,0,1,1,0,0
