,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,J Neesham,18,16,37.4,0,323,13,24.84,8.57,17.3,0,0,0
1,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,1
2,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
3,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
4,O McCoy,2,1,3,0,44,1,44,14.66,18,0,0,1
5,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,1
6,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
7,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
8,A Khan,7,-,-,-,-,-,-,-,-,-,-,0
9,R Bishnoi,49,45,180,0,1800,51,35.29,10,21,1,1,1
