,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,1
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
2,O McCoy,2,1,3,0,44,1,44,14.66,18,0,0,0
3,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,1
4,L Yadav,50,47,141,1,2397,38,63.08,17,22,2,1,1
5,A Patel,2,1,1,0,19,0,-,19,-,0,0,0
6,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
7,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
8,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,0
9,K Ahmed,5,-,-,-,-,-,-,-,-,-,-,1
