,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Narine,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0,1
1,P Cummins,25,25,95,3,644,32,20.12,6.77,17.8,0,0,0
2,K Nagarkoti,56,52,208,3,1456,57,25.54,7,22,1,0,1
3,S Mavi,42,39,156,1,1872,58,32.28,12,16,1,0,1
4,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
5,R Tewatia,48,44,132,2,1980,33,60,15,24,1,0,0
6,S Gopal,43,38,152,2,1368,41,33.37,9,22,1,0,0
7,J Archer,1,1,4,0,29,2,14.5,7.25,12,0,0,1
8,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
9,A Rajpoot,40,36,144,3,1008,33,30.55,7,26,3,0,0
