,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,P Dubey,48,45,180,1,1080,30,36,6,36,0,1,0
1,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
2,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
4,A Nortje,1,1,3,0,27,0,-,9,-,0,0,0
5,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
7,S Nadeem,43,40,160,1,1600,49,32.65,10,20,1,0,0
8,S Sharma,57,54,216,3,3024,71,42.59,14,18,2,0,1
9,T Natarajan,53,48,144,3,1872,66,28.36,13,13,3,1,0
