,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,A Patel,2,1,1,0,19,0,-,19,-,0,0,0
1,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
2,P Dubey,47,42,168,2,1848,30,61.6,11,34,1,0,0
3,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
4,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
5,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
6,J Yadav,48,43,129,4,1419,29,48.93,11,27,2,0,1
7,N Coulter-Nile,28,27,97,1,802,34,23.58,8.26,17.1,1,0,1
8,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
9,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,0
