,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,17,-,-,-,-,-,-,-,-,-,-,1
1,H Patel,7,5,13,0,104,2,52,8,39,0,0,1
2,J Hazlewood,39,36,108,3,1728,33,52.36,16,20,1,1,0
3,M Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0,0
4,R Tewatia,63,58,174,2,2088,73,28.6,12,14,3,1,1
5,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,0
6,P Sangwan,45,41,123,3,1845,37,49.86,15,20,3,0,0
7,A Joseph,40,36,108,1,648,50,12.96,6,13,2,0,0
8,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
9,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
