,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
1,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
2,S Sharma,61,57,171,4,1368,67,20.42,8,15,0,1,1
3,T Natarajan,50,46,138,4,1932,40,48.3,14,21,3,0,1
4,S Nadeem,39,34,136,4,1768,38,46.53,13,21,0,0,0
5,A Patel,2,1,1,0,19,0,-,19,-,0,0,0
6,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
7,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,1
8,T Deshpande,59,56,168,1,2520,64,39.38,15,16,3,1,0
9,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
