,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Bawa,44,40,120,2,1080,29,37.24,9,25,0,0,0
1,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
2,H Brar,63,60,180,4,1260,45,28,7,24,2,0,0
3,O Smith,2,2,7,0,78,2,39,11.14,21,0,0,1
4,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
5,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
6,S Narine,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0,1
7,T Southee,66,64,233.3,2,1954,75,26.05,8.36,18.6,0,1,1
8,U Yadav,7,7,25,0,219,9,24.33,8.76,16.6,0,0,1
9,S Mavi,40,35,140,0,2380,37,64.32,17,23,1,0,0
