,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18,18,63,1,417,15,27.8,6.61,25.2,0,0,1
1,R Shepherd,37,33,99,2,693,38,18.24,7,16,2,1,1
2,J Suchith,62,59,177,0,2478,59,42,14,18,2,1,1
3,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
4,U Malik,39,34,102,2,714,18,39.67,7,34,1,1,0
5,F Farooqi,47,44,176,4,1760,39,45.13,10,27,1,1,1
6,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,1
7,H Brar,63,58,174,1,1740,54,32.22,10,19,3,0,1
8,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
9,N Ellis,57,52,208,2,2288,51,44.86,11,24,1,1,1
