,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
1,O Smith,2,2,7,0,78,2,39,11.14,21,0,0,1
2,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
3,R Chahar,1,1,3,0,27,1,27,9,18,0,0,0
4,V Arora,59,56,168,3,1008,60,16.8,6,17,1,1,0
5,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
6,M Ashwin,60,56,224,1,2912,66,44.12,13,20,2,0,0
7,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,0
8,T Mills,5,5,19,1,129,3,43,6.78,38,0,0,0
9,B Thampi,37,32,96,2,768,25,30.72,8,23,1,0,1
