,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,0
1,D Sams,48,43,172,0,2408,31,77.68,14,33,2,1,0
2,M Ashwin,49,46,184,1,2760,42,65.71,15,26,3,0,1
3,T Mills,5,5,19,1,129,3,43,6.78,38,0,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,0
5,B Thampi,44,39,156,1,2340,35,66.86,15,27,3,1,1
6,L Yadav,39,35,140,2,1680,39,43.08,12,22,2,1,1
7,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
8,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
9,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,1
10,K Ahmed,5,-,-,-,-,-,-,-,-,-,-,1
11,K Nagarkoti,42,38,114,4,1596,32,49.88,14,21,2,0,0
