,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
1,C Jordan,43,43,151.3,0,1300,54,24.07,8.58,16.8,2,0,0
2,H Brar,47,44,132,2,1056,55,19.2,8,14,2,1,1
3,R Meredith,62,57,228,4,2508,57,44,11,24,2,0,1
4,R Bishnoi,40,37,111,2,1221,57,21.42,11,12,2,1,0
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
6,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
7,L Yadav,43,39,117,2,1170,47,24.89,10,15,1,1,0
8,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
9,A Khan,7,-,-,-,-,-,-,-,-,-,-,0
