,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,40,37,111,4,666,32,20.81,6,21,3,1,0
1,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
2,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,1
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
4,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
5,A Khan,7,-,-,-,-,-,-,-,-,-,-,0
6,R Tewatia,60,55,165,0,2805,65,43.15,17,15,2,0,1
7,K Tyagi,43,38,114,4,1254,42,29.86,11,16,1,1,0
8,C Sakariya,59,56,224,3,3360,39,86.15,15,34,2,1,1
9,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,1
