,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
2,O McCoy,2,1,3,0,44,1,44,14.66,18,0,0,0
3,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,1
4,R Tewatia,44,40,160,1,2400,42,57.14,15,23,0,1,0
5,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
6,R Kishore,56,53,159,2,1272,68,18.71,8,14,3,1,1
7,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
8,Y Dayal,62,58,232,3,2784,47,59.23,12,30,1,1,0
9,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
