,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,1
1,O Smith,2,2,7,0,78,2,39,11.14,21,0,0,0
2,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
3,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
4,V Arora,57,54,216,1,3024,52,58.15,14,25,1,1,0
5,J Suchith,41,36,108,1,864,44,19.64,8,15,3,1,1
6,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,1
7,M Jansen,42,39,117,1,1872,44,42.55,16,16,0,1,0
8,T Natarajan,45,42,168,4,2352,42,56,14,24,3,1,0
9,U Malik,52,47,188,1,1316,54,24.37,7,21,2,1,1
