,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,38,34,136,2,1224,40,30.6,9,20,0,1,0
1,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
2,R Kishore,47,42,126,0,1134,49,23.14,9,15,2,0,1
3,A Joseph,58,54,216,1,2592,45,57.6,12,29,1,1,0
4,Y Dayal,43,39,117,1,1053,32,32.91,9,22,3,0,1
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
6,K Sharma,56,52,208,0,2080,55,37.82,10,23,1,1,0
7,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
8,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
9,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,1
10,A Khan,7,-,-,-,-,-,-,-,-,-,-,1
