,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,17,-,-,-,-,-,-,-,-,-,-,1
1,W Sundar,18,18,63,1,417,15,27.8,6.61,25.2,0,0,0
2,H Patel,7,5,13,0,104,2,52,8,39,0,0,1
3,M Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0,1
4,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
5,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,1
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
7,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
8,S Nadeem,55,52,208,0,1456,69,21.1,7,18,1,0,0
9,T Natarajan,52,47,188,3,1128,59,19.12,6,19,1,1,0
