,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,50,46,184,2,2944,40,73.6,16,28,1,0,0
1,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
2,D Nalkande,39,34,136,4,2312,36,64.22,17,23,2,1,0
3,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
4,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
5,W Sundar,18,18,63,1,417,15,27.8,6.61,25.2,0,0,0
6,M Jansen,57,52,156,0,2028,47,43.15,13,20,0,1,0
7,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,1
8,T Natarajan,60,57,228,3,3648,64,57,16,21,1,0,1
9,U Malik,55,51,204,1,3468,50,69.36,17,24,3,1,1
