,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,61,57,228,0,3876,54,71.78,17,25,2,0,0
1,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,1
2,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,1
3,A Nortje,1,1,3,0,27,0,-,9,-,0,0,0
4,K Ahmed,5,-,-,-,-,-,-,-,-,-,-,1
5,S Abbott,4,4,10,0,61,3,20.33,6.1,20,0,0,0
6,S Gopal,60,56,168,2,2856,48,59.5,17,21,0,1,1
7,K Tyagi,59,54,216,2,1944,62,31.35,9,21,3,1,0
8,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,1
9,U Malik,50,46,184,3,1104,33,33.45,6,33,0,0,0
