,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
1,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
2,T Deshpande,48,44,132,0,1320,35,37.71,10,23,1,0,1
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
4,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
5,R Tewatia,61,57,228,3,2508,61,41.11,11,22,1,0,0
6,J Archer,1,1,4,0,29,2,14.5,7.25,12,0,0,1
7,S Gopal,37,33,132,0,1584,31,51.1,12,26,0,1,0
8,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
9,K Tyagi,54,50,150,3,2550,34,75,17,26,3,0,1
