,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
1,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
2,A Joseph,48,45,180,3,2340,45,52,13,24,0,0,1
3,J Behrendorff,7,6,16,0,117,7,16.71,7.31,13.7,1,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
5,M Nabi,75,75,256.4,5,1839,69,26.65,7.16,22.3,3,0,1
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,0
7,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
8,S Kaul,3,3,9.4,0,84,4,21,8.68,14.5,0,0,1
9,S Sharma,59,55,220,3,3740,56,66.79,17,24,2,1,1
