,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
1,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
2,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
3,S Sharma,40,36,144,1,1584,32,49.5,11,27,0,1,0
4,K Ahmed,5,-,-,-,-,-,-,-,-,-,-,1
5,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
6,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
7,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
8,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
9,A Khan,7,-,-,-,-,-,-,-,-,-,-,0
