,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,43,38,114,2,1368,26,52.62,12,26,3,1,0
1,S Gopal,40,37,111,3,1110,38,29.21,10,18,3,0,0
2,C Sakariya,37,34,102,3,1428,49,29.14,14,12,0,1,1
3,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
4,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,1
5,J Neesham,18,16,37.4,0,323,13,24.84,8.57,17.3,0,0,1
6,N Coulter-Nile,28,27,97,1,802,34,23.58,8.26,17.1,1,0,1
7,J Yadav,54,49,196,1,2940,56,52.5,15,21,3,0,0
8,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
9,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,0
