,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,H Patel,7,5,13,0,104,2,52,8,39,0,0,1
1,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
2,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
3,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,1
4,A Nortje,1,1,3,0,27,0,-,9,-,0,0,0
5,R Tewatia,44,40,120,0,1080,51,21.18,9,14,3,0,1
6,J Archer,1,1,4,0,29,2,14.5,7.25,12,0,0,1
7,S Gopal,60,55,165,1,1980,53,37.36,12,19,1,1,0
8,K Tyagi,41,38,114,4,1482,25,59.28,13,27,0,1,0
9,V Aaron,59,56,168,3,1344,59,22.78,8,17,1,1,0
