,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,40,36,144,1,1440,39,36.92,10,22,0,0,0
1,J Archer,1,1,4,0,29,2,14.5,7.25,12,0,0,1
2,S Gopal,40,35,105,3,1575,38,41.45,15,17,0,0,0
3,A Rajpoot,40,35,105,2,735,23,31.96,7,27,0,0,0
4,K Tyagi,42,37,148,0,1480,23,64.35,10,39,3,1,0
5,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,1
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
7,S Sharma,63,60,180,1,1260,50,25.2,7,22,1,0,0
8,T Natarajan,61,56,224,2,2912,51,57.1,13,26,0,0,0
9,S Nadeem,60,56,168,0,2352,71,33.13,14,14,0,0,1
