,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,D Bravo,20,-,-,-,-,-,-,-,-,-,-,1
1,C Jordan,43,43,151.3,0,1300,54,24.07,8.58,16.8,2,0,0
2,M Theekshana,37,34,136,1,1904,37,51.46,14,22,0,0,1
3,M Choudhary,57,54,162,0,1296,57,22.74,8,17,0,0,1
4,R Tewatia,38,35,105,2,1470,25,58.8,14,25,1,0,0
5,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
6,A Joseph,63,60,240,0,2880,68,42.35,12,21,3,0,1
7,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
8,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
9,Y Dayal,55,50,150,0,2100,51,41.18,14,18,2,1,0
