,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,L Yadav,60,57,171,1,1197,55,21.76,7,19,2,0,1
1,A Patel,2,1,1,0,19,0,-,19,-,0,0,0
2,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,1
3,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,1
4,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,0
5,A Nortje,1,1,3,0,27,0,-,9,-,0,0,0
6,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
7,K Gowtham,42,37,148,0,1036,41,25.27,7,22,3,1,1
8,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
9,A Khan,7,-,-,-,-,-,-,-,-,-,-,0
10,R Bishnoi,54,51,153,3,918,40,22.95,6,23,3,0,1
