,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
1,H Brar,56,51,153,1,1989,62,32.08,13,15,3,1,1
2,R Meredith,59,55,165,0,1320,59,22.37,8,17,2,0,1
3,R Bishnoi,49,46,184,3,1840,66,27.88,10,17,0,0,1
4,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
5,C Jordan,43,43,151.3,0,1300,54,24.07,8.58,16.8,2,0,0
6,S Ahmed,17,-,-,-,-,-,-,-,-,-,-,1
7,D Sams,61,56,224,1,2016,54,37.33,9,25,1,1,0
8,H Patel,7,5,13,0,104,2,52,8,39,0,0,1
9,M Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0,0
10,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,1
