,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18,18,63,1,417,15,27.8,6.61,25.2,0,0,0
1,M Jansen,61,56,224,3,1792,71,25.24,8,19,3,1,0
2,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,0
3,T Natarajan,48,45,180,2,1440,36,40,8,30,3,1,0
4,U Malik,63,59,236,3,1652,57,28.98,7,25,0,0,1
5,R Tewatia,39,34,102,2,1326,49,27.06,13,12,3,0,1
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
7,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
8,A Joseph,63,60,240,3,3600,61,59.02,15,24,2,1,1
9,Y Dayal,39,35,105,0,1785,40,44.62,17,16,2,0,0
10,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
