,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,W Sundar,18,18,63,1,417,15,27.8,6.61,25.2,0,0,0
1,B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1,1
2,U Malik,62,59,177,2,1770,54,32.78,10,20,2,1,1
3,T Natarajan,44,39,156,1,1248,45,27.73,8,21,0,1,0
4,F Farooqi,50,46,184,4,2944,43,68.47,16,26,2,1,0
5,D Sams,57,54,216,3,1296,68,19.06,6,19,0,0,1
6,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,0
7,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
8,M Markande,1,1,4,0,31,0,-,7.75,-,0,0,0
9,R Meredith,63,59,177,0,1770,58,30.52,10,18,0,0,0
