,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,57,52,156,3,1716,38,45.16,11,25,3,1,0
1,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
2,R Kishore,56,52,208,2,1664,67,24.84,8,19,3,0,0
3,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
4,Y Dayal,45,41,123,3,2091,43,48.63,17,17,2,1,0
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
6,S Ahmed,17,-,-,-,-,-,-,-,-,-,-,1
7,H Patel,7,5,13,0,104,2,52,8,39,0,0,0
8,J Hazlewood,57,52,156,1,2028,56,36.21,13,17,3,1,1
9,S Kaul,3,3,9.4,0,84,4,21,8.68,14.5,0,0,0
