,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,O Smith,2,2,7,0,78,2,39,11.14,21,0,0,0
1,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
2,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,1
3,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
4,V Arora,51,46,138,0,2208,62,35.61,16,13,0,0,0
5,R Tewatia,59,55,220,3,2640,64,41.25,12,21,3,1,0
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
7,D Nalkande,61,56,168,0,2352,63,37.33,14,16,1,0,1
8,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
9,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
