,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
1,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
2,N Ellis,57,54,216,3,2808,72,39,13,18,2,0,0
3,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
4,V Arora,46,41,123,2,984,44,22.36,8,17,3,0,0
5,L Yadav,43,40,120,4,1440,55,26.18,12,13,0,0,1
6,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
7,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
8,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,1
9,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,1
10,K Ahmed,5,-,-,-,-,-,-,-,-,-,-,1
