,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,D Willey,28,28,92.5,0,761,34,22.38,8.19,16.3,1,0,0
1,S Ahmed,17,-,-,-,-,-,-,-,-,-,-,0
2,H Patel,7,5,13,0,104,2,52,8,39,0,0,0
3,M Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0,1
4,A Deep,44,40,120,4,2040,34,60,17,21,1,1,0
5,R Bawa,37,34,102,2,918,44,20.86,9,14,1,0,0
6,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,0
7,O Smith,2,2,7,0,78,2,39,11.14,21,0,0,1
8,H Brar,62,59,236,0,3304,75,44.05,14,19,3,1,0
9,S Sharma,56,51,153,0,1530,51,30,10,18,0,1,0
10,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
