,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
2,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
3,O McCoy,2,1,3,0,44,1,44,14.66,18,0,0,0
4,R Tewatia,63,58,174,3,1044,58,18,6,18,1,0,0
5,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,0
6,R Kishore,45,42,168,2,1176,40,29.4,7,25,3,0,1
7,A Joseph,44,39,156,3,1716,48,35.75,11,20,3,1,0
8,Y Dayal,60,57,171,3,2736,47,58.21,16,22,3,1,1
9,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,1
