,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,H Shokeen,53,50,200,4,3200,36,88.89,16,33,1,0,1
1,D Sams,38,35,140,3,2240,28,80,16,30,3,1,1
2,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,1
3,R Meredith,55,51,153,1,2295,45,51,15,20,3,0,0
4,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,0
5,M Santner,39,38,128.5,1,928,49,18.93,7.2,15.7,1,0,1
6,D Pretorius,6,6,14,0,116,3,38.66,8.28,28,0,0,0
7,D Bravo,20,-,-,-,-,-,-,-,-,-,-,1
8,M Choudhary,37,34,136,0,1360,36,37.78,10,23,1,1,1
9,M Theekshana,60,56,168,3,1176,51,23.06,7,20,1,1,0
