,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,1
1,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
2,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,1
3,K Sen,53,48,144,2,1728,63,27.43,12,14,1,1,0
4,L Yadav,37,33,132,2,1848,38,48.63,14,21,3,1,0
5,A Patel,2,1,1,0,19,0,-,19,-,0,0,0
6,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,1
7,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
8,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
9,C Sakariya,50,47,141,2,1410,63,22.38,10,13,1,1,1
