,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,R Tewatia,54,50,200,2,1400,35,40,7,34,3,1,0
1,J Unadkat,10,10,34.4,0,301,14,21.5,8.68,14.8,0,0,0
2,C Sakariya,56,52,208,1,1248,62,20.13,6,20,0,0,0
3,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,0
4,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,1
5,N Coulter-Nile,28,27,97,1,802,34,23.58,8.26,17.1,1,0,0
6,J Yadav,56,51,153,1,2142,55,38.95,14,17,2,0,0
7,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
8,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
9,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
