,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,0
1,J Holder,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,0
2,M Khan,19,11,31,0,222,9,24.66,7.16,20.6,0,0,1
3,K Gowtham,49,44,132,2,1716,38,45.16,13,21,2,1,1
4,R Bishnoi,51,48,192,4,2112,35,60.34,11,33,1,0,1
5,L Yadav,59,56,168,4,2184,55,39.71,13,18,0,0,0
6,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
7,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,1
8,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
9,M Rahman,16,16,60,0,324,20,16.2,5.4,18,1,0,0
10,C Sakariya,60,55,220,2,1980,52,38.08,9,25,1,0,0
