,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,1
1,D Sams,55,50,200,0,2400,42,57.14,12,29,0,0,0
2,M Ashwin,37,33,132,4,1320,33,40,10,24,2,0,1
3,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,0
4,R Meredith,53,49,147,4,2352,43,54.7,16,21,1,1,0
5,R Tewatia,41,37,111,0,999,44,22.7,9,15,2,1,0
6,R Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2,1
7,P Sangwan,39,35,140,1,2240,34,65.88,16,25,0,1,1
8,L Ferguson,8,8,31,0,222,14,15.85,7.16,13.2,0,0,0
9,A Joseph,47,43,129,3,1290,61,21.15,10,13,3,1,0
10,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
