,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,A Patel,2,1,1,0,19,0,-,19,-,0,0,1
1,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,1
2,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
3,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
4,K Ahmed,5,-,-,-,-,-,-,-,-,-,-,0
5,T David,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,1
6,D Sams,47,42,168,3,1008,40,25.2,6,25,1,0,0
7,H Shokeen,41,38,114,3,1140,28,40.71,10,24,1,1,0
8,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
9,M Markande,1,1,4,0,31,0,-,7.75,-,0,0,0
10,R Meredith,46,41,164,2,1968,45,43.73,12,22,0,0,0
