,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,J Denly,10,9,92,30,11.5,93,98.92,0,0,2,11,1,0
1,S Gill,34,28,896,62,28.9,812,110.34,0,4,2,81,49,1
2,R Uthappa,36,29,899,63,39.82,696,129.17,0,7,6,84,52,1
3,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,1
4,A Russell,47,39,465,47,17.88,329,141.33,0,0,6,30,32,1
5,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
6,C Brathwaite,41,27,310,37,14.76,274,113.13,0,0,3,13,22,0
7,P Chawla,43,39,1404,68,34.42,1053,133.33,0,7,6,77,54,0
8,M Krishna,52,46,1564,50,40.37,1288,121.43,0,7,6,101,39,1
9,P Shaw,38,33,1287,71,32.56,792,162.5,0,5,6,96,51,0
10,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
11,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
12,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
13,C Ingram,47,40,1400,67,28.72,1000,140,0,3,2,84,48,0
14,C Morris,23,13,133,55,14.77,102,130.39,0,1,3,12,5,1
15,K Paul,18,12,142,29,20.28,123,115.44,0,0,0,8,8,1
16,I Sharma,36,31,961,67,36.39,868,110.71,0,7,4,93,46,1
