,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,0
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,1
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
4,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
5,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,1
6,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
7,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,1
8,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,1
9,N Pooran,16,16,312,58,24.0,247,126.31,0,2,1,24,17,0
10,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,0
11,D Hooda,47,42,1344,67,33.09,966,139.13,0,3,6,78,51,1
12,A Singh,46,39,1443,72,34.02,1131,127.59,0,5,9,98,43,1
