,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,0
2,R Patidar,35,29,1044,62,30.28,812,128.57,0,4,1,80,45,1
3,G Maxwell,61,54,1576,145,35.02,985,160.0,3,7,1,133,81,1
4,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,0
5,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,0
6,P Silva,8,7,55,14,13.75,50,110.0,0,0,0,3,0,0
7,W Saha,40,33,1023,52,41.21,957,106.9,0,3,8,75,52,1
8,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,1
9,B Sudharsan,42,36,1224,43,37.69,828,147.83,0,3,2,85,53,0
10,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
11,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,1
