,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,1
1,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,0
2,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,1
3,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
4,P Garg,33,27,945,66,35.77,729,129.63,0,3,4,85,44,1
5,A Sharma,38,34,1292,75,37.53,884,146.15,0,2,3,97,51,1
6,A Samad,40,36,1188,55,42.41,1044,113.79,0,5,6,79,44,1
7,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
8,S Watson,55,49,1617,70,33.25,1127,143.48,0,2,1,90,40,0
9,A Rayudu,37,30,990,63,28.43,720,137.5,0,6,7,81,48,0
10,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
11,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
13,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
14,P Chawla,53,46,1702,63,38.15,1196,142.31,0,1,4,89,48,0
