,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Gaikwad,47,42,1386,44,23.68,1218,113.79,0,5,6,103,51,0
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
2,R Uthappa,45,40,1360,70,29.91,1120,121.43,0,7,2,78,44,1
3,M Ali,25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
4,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,0
5,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,0
6,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
7,S Gill,45,41,1435,46,40.26,984,145.83,0,1,5,79,47,1
8,V Iyer,50,44,1584,53,30.7,1012,156.52,0,5,1,77,41,1
9,N Rana,8,4,15,7,7.5,24,62.5,0,0,1,0,0,0
10,E Morgan,86,84,2002,91,29.88,1475,135.72,0,11,3,151,96,0
11,K Karthik,32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
12,S Hasan,76,76,1567,84,23.74,1266,123.77,0,9,5,163,33,0
13,R Tripathi,35,28,952,48,37.86,784,121.43,0,2,9,90,55,0
14,C Varun,39,32,1120,56,31.73,768,145.83,0,7,4,85,48,0
