,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,M Agarwal,44,40,1320,72,41.17,1160,113.79,0,5,7,88,45,1
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,P Rajapaksa,5,5,131,77,32.75,95,137.89,0,1,0,7,9,1
3,L Livingstone,2,2,16,16,8,19,84.21,0,0,1,1,0,0
4,J Bairstow,34,29,603,68,26.21,450,134,0,3,2,56,25,0
5,J Sharma,54,47,1551,73,34.14,1081,143.48,0,0,4,83,55,0
6,R Dhawan,40,33,1188,72,37.41,792,150,0,1,9,94,47,1
7,A Singh,47,41,1312,50,33.93,1025,128,0,6,6,93,55,1
8,R Gaikwad,40,36,1404,49,24.55,864,162.5,0,2,0,82,55,1
9,R Uthappa,57,53,1855,47,35.02,1272,145.83,0,2,2,100,50,0
10,S Dube,6,4,64,54,32,42,152.38,0,1,0,3,4,0
11,A Rayudu,40,33,1287,64,27.42,924,139.29,0,4,2,96,54,1
12,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
13,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
